model_0,model_dir_0,num_0,name_0,model_1,model_dir_1,num_1,name_1,win_0,win_1
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,250047,ADV_vs_Random,10,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,1000867,ADV_vs_Random,10,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,2501982,ADV_vs_Random,8,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,4753393,ADV_vs_Random,3,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,250016,ADV_vs_250k,6,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,1000902,ADV_vs_250k,5,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,2501784,ADV_vs_250k,5,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,4753522,ADV_vs_250k,3,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,250101,Nature4A,19,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,1001653,Nature4A,7,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,2503205,Nature4A,3,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,4758399,Nature4A,3,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,250101,Nature4B,20,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,1001653,Nature4B,1,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,2503205,Nature4B,3,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,250068,SingleDQN0,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,4758399,Nature4B,1,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,250047,ADV_vs_Random,18,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,1000867,ADV_vs_Random,12,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,2501982,ADV_vs_Random,15,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,4753393,ADV_vs_Random,8,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,250016,ADV_vs_250k,4,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,1000902,ADV_vs_250k,11,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,2501784,ADV_vs_250k,12,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,4753522,ADV_vs_250k,10,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,250101,Nature4A,13,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,1001653,Nature4A,3,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,2503205,Nature4A,3,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,NatureQN,trained_models/03_2357/Nature_A/model.weights/model,4758399,Nature4A,4,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,250101,Nature4B,20,17
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,1001653,Nature4B,3,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,2503205,Nature4B,2,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,1002011,SingleDQN0,NatureQN,trained_models/03_2357/Nature_B/model.weights/model,4758399,Nature4B,1,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,2505567,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,250047,ADV_vs_Random,20,12
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,2505567,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,1000867,ADV_vs_Random,16,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,2505567,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,2501982,ADV_vs_Random,11,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,2505567,SingleDQN0,AdvantageQN,trained_models/04_1006/Adv_Single/model.weights/model,4753393,ADV_vs_Random,5,20
NatureQN,trained_models/03_2349/SingleNatureQN/model.weights/model,2505567,SingleDQN0,AdvantageQN,trained_models/04_1109/Adv_Single/model.weights/model,250016,ADV_vs_250k,19,20
